r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,label,
3.283691,0.668335,-0.6164551,10.16777,-13.52951,-8.973083,reverse,
6.231689,-0.7873535,2.044678,8.149815,-11.26221,-7.250061,reverse,
0.1464844,17.08374,-3.622437,6.614971,-9.855652,-5.286255,reverse,
5.429077,3.317261,0.3417969,4.658947,-8.66806,-4.063721,reverse,
10.12573,-0.4180908,5.151367,-0.8558273,-4.549561,-0.05249023,reverse,
2.978516,9.109497,-3.52478,-2.695084,-4.86084,0.5438232,reverse,
9.539795,50.27466,-13.67188,-13.62896,-6.228638,4.412537,reverse,
2.310181,-31.22864,2.941895,-11.43806,-5.615997,3.418579,reverse,
-7.077026,-56.073,27.20337,-9.764977,-5.016327,-1.121521,reverse,
-0.5584717,5.761719,-2.688599,-11.40032,-5.891724,-1.118469,reverse,
-7.192993,-1.290894,-1.498413,-13.48179,-4.939423,-0.8990479,reverse,
-0.4852295,1.693726,-2.27356,-14.53377,-5.409393,-0.7711792,reverse,
-5.889893,-4.678345,4.995728,-17.99065,-3.640747,1.305542,reverse,
1.599121,-4.702759,0.8453369,-17.07718,-3.454742,1.492004,reverse,
-15.86914,12.66479,-25.87585,-31.58674,-1.895447,5.472107,reverse,
-2.670288,-3.302002,-10.26001,-36.29941,-2.225037,6.437378,reverse,
15.86304,-28.09448,35.65063,-28.01811,-0.6427002,4.388428,reverse,
8.349609,-23.78845,-0.9155273,-21.06205,2.194672,2.435608,reverse,
5.340576,-5.136108,9.30481,-17.66193,3.495636,2.467957,reverse,
3.33252,-3.933716,6.918335,-16.689,4.866028,2.613525,reverse,
1.528931,2.682495,-1.208496,-14.55453,4.475555,2.840271,reverse,
3.414917,0.9643555,-2.246094,3572.172,9.548645,9.017334,reverse,
-0.2838135,7.904053,-1.144409,-9.367065,2.540283,3.900757,reverse,
21.22192,56.93359,-25.38757,-63.55774,4.099121,-3556.022,reverse,
-6.521606,-27.65503,7.641602,-23.97217,-2.895813,23.39869,reverse,
0.03356934,2.542114,-6.19812,-7.663269,-7.39502,21.43113,reverse,
3.451538,1.315308,-4.318237,-6.000977,-10.88654,23.87959,reverse,
-3.509521,-3.009033,-2.682495,0.4678345,-15.71869,21.17476,reverse,
-1.428223,-7.070923,13.13782,3.08075,-14.88953,17.81743,reverse,
-4.458618,-6.488037,25.41199,8.778381,-15.94238,12.40804,reverse,
-1.776123,-4.01001,-0.1953125,10.65948,-17.20535,12.37464,reverse,
-16.84265,-6.399536,-52.9541,32.01233,-40.05829,8.517265,reverse,
-14.87427,-0.06103516,-8.54187,44.4873,-49.50333,4.816923,reverse,
7.385254,-7.397461,41.48254,-3586.738,-1.081696,-1.420374,reverse,
-0.3479004,-0.4730225,0.1220703,13.2186,-1.107483,-1.539135,reverse,
-9.94873,5.679321,-7.626343,1.09365,3.664856,-6.418943,reverse,
-2.79541,-1.18103,-1.809692,1.214948,4.035492,-7.038889,reverse,
-0.9979248,0.2349854,32.96814,0.2148533,6.035004,-7.651529,reverse,
5.355835,-0.994873,3.704834,0.08657575,5.276947,-6.361732,reverse,
11.76453,-3.69873,-2.01416,0.2521205,3.501892,-4.168043,reverse,
-25.79041,-5.224609,26.51672,1.031283,10.9726,-13.02402,reverse,
25.59814,-3.533936,2.694702,3575.744,1.931915,-7.877283,reverse,
10.02502,-4.266357,1.425171,-34.58435,-1.245728,-5.650978,reverse,
2.822876,-0.4547119,-17.81616,-19.68811,-0.008850098,-3.928022,reverse,
0.6347656,14.41956,-24.24927,0,0,0,reverse,
