l_upleg_JNTa_x,l_upleg_JNTa_y,l_upleg_JNTa_z,l_upleg_JNTw_x,l_upleg_JNTw_y,l_upleg_JNTw_z,label,
-7.769775,-1.049805,27.91748,48.65749,20.35065,10.23865,ankle,
44.25049,28.96729,-74.60022,0,0,0,ankle,
-75.01831,-18.01758,132.132,16.21475,-104.1324,-29.58771,ankle,
-1.678467,54.05273,146.817,17.13689,-71.91406,-8.788147,ankle,
41.07056,-15.04517,-143.7775,9.709053,-18.87085,3.287659,ankle,
19.0155,-7.537842,-57.87048,4.681797,-3.058624,6.446228,ankle,
-4.174805,-6.060791,10.06165,4.760742,-2.396088,7.255249,ankle,
20.78552,-7.391357,-87.36267,0,0,0,ankle,
-22.27783,-9.176636,68.06335,3.763695,2.792053,8.905334,ankle,
-0.05493164,-9.387207,-2.047729,3.517036,3.2901,9.952393,ankle,
10.01892,-19.43054,-13.01575,2.707844,4.62265,12.33673,ankle,
34.57031,-30.77393,19.0033,-12.03739,8.987579,18.24646,ankle,
110.2936,-210.5194,58.97217,-72.16285,29.30481,45.59082,ankle,
-132.55,279.2877,-130.9753,0,0,0,ankle,
159.552,-166.5924,-48.27881,-20.03527,15.59525,23.79028,ankle,
-74.91455,116.0431,-6.689453,-1.063232,5.291901,8.744202,ankle,
24.11499,14.48364,-30.49011,5.847883,4.295959,8.253784,ankle,
-17.72766,32.48901,11.20605,6.237707,3.838196,6.098328,ankle,
4.602051,18.41736,-4.769897,8.036003,3.995514,5.599365,ankle,
-95.62683,-14.8407,79.02222,0,0,0,ankle,
121.7529,59.28955,-90.60974,12.98254,8.722382,7.985229,ankle,
7.556152,25.53406,-6.40564,17.0446,10.32059,8.406372,ankle,
-87.31384,-53.75366,72.86072,6.646385,3.680267,2.757874,ankle,
-20.68176,-12.79907,25.59814,4.573669,2.122498,1.138916,ankle,
-21.31348,-18.27087,-1.443481,0,0,0,ankle,
-6.222534,1.809692,30.19104,2.839642,-1.546783,-2.709351,ankle,
-8.102417,12.08801,-0.5157471,2.698145,-2.324066,-3.681641,ankle,
-6.8573,21.89636,13.03406,5.340128,-3.173981,-6.007385,ankle,
-42.34314,158.0292,35.16541,19.25685,-5.096283,-16.40045,ankle,
6.033325,-7.025146,-76.37329,21.83985,-4.901733,-17.71729,ankle,
-11.62109,-77.55432,-32.40662,21.45044,-2.771301,-12.98706,ankle,
69.11316,-109.2438,30.90515,0,0,0,ankle,
-71.7804,76.80359,-44.49158,15.15808,-2.099304,-13.02979,ankle,
7.095337,-50.22888,33.43506,-5.694084,-0.269928,-13.76099,ankle,
-10.11658,-20.08667,-10.97107,-10.73975,-1.007538,-20.54871,ankle,
41.42761,-17.95044,16.43677,-7.887726,-1.009827,-13.00934,ankle,
49.33167,19.33289,-3.149414,-14.839,-7.601013,-14.6875,ankle,
6.576538,0.5187988,-6.484985,-19.95628,-9.169464,-17.89276,ankle,
8.276367,10.14709,-3.90625,-46.46899,-41.28433,-28.12317,ankle,
0.9277344,5.596924,1.730347,-59.33475,-56.50757,-20.08209,ankle,
-4.293823,-8.312988,-15.44495,-54.95783,-22.69241,-9.83551,ankle,
-7.58667,-7.403564,-7.214355,3550.81,-0.6278992,-6.542664,ankle,
-12.02698,-13.24463,5.090332,-49.89319,6.55014,-4.718933,ankle,
-7.830811,4.827881,34.97009,0,0,0,ankle,
3.884888,-15.75928,-38.69629,-56.28021,10.02533,-5.464783,ankle,
-63.24463,-84.24072,6.765747,-165.8203,50.44113,-20.19928,ankle,
27.29492,-9.011841,93.15796,-134.8724,52.4588,-17.48901,ankle,
19.29321,61.64856,-32.47986,-48.72986,29.40842,-5.800781,ankle,
-3.536987,-23.82507,3.421021,-63.50708,46.80878,-15.8075,ankle,
4.595947,6.512451,-8.886719,-49.73053,50.73547,-10.54932,ankle,
2.737427,-8.361816,0.1525879,-49.64874,66.45172,-28.63953,ankle,
16.48865,14.50348,15.40527,-35.90393,79.9118,-47.34192,ankle,
4.690552,17.16003,-1.303101,-19.2926,109.8012,-93.89496,ankle,
-12.20398,41.37421,-37.53662,0,0,0,ankle,
38.43994,-27.78625,60.32104,12.41272,187.3109,-190.9628,ankle,
3.274536,31.56128,-8.840942,27.17896,88.32718,-87.59674,ankle,
5.227661,75.04272,17.04102,44.07898,-19.16962,29.19403,ankle,
-12.27722,31.66504,-39.28528,28.48145,-91.41205,127.5391,ankle,
-8.370972,-27.71912,-14.07471,26.6684,-55.979,83.89679,ankle,
-3.7323,66.99829,-48.19946,74.94904,-100.2063,156.6998,ankle,
16.36963,16.97388,-51.21765,107.1362,-69.34204,150.8826,ankle,
-31.073,-51.16577,-21.48438,86.08551,-17.98447,74.67102,ankle,
8.322144,-29.49829,-4.849243,74.24957,-0.7774353,50.6073,ankle,
-37.98218,-168.0847,175.2075,-101.6116,-33.74542,-58.15338,ankle,
21.80176,82.01294,-64.61792,0,0,0,ankle,
-10.66589,-144.4885,75.99792,-151.8185,-28.07938,-64.11194,ankle,
-24.53308,-3.753662,-82.35779,-99.25232,36.28525,-89.08203,ankle,
-15.16418,-10.6842,-70.71228,-81.30615,63.7291,-117.1021,ankle,
50.36316,158.9264,77.07214,0,0,0,ankle,
-90.95459,20.224,-178.0396,62.45697,-119.9088,72.83539,ankle,
30.35889,94.54041,-9.851074,144.0491,-125.5357,93.45459,ankle,
18.71948,-32.73315,-45.10193,161.0092,-73.19107,41.2262,ankle,
58.85315,-44.60754,155.4779,91.21155,-28.45459,21.2619,ankle,
4.199219,-21.96655,17.68188,75.1178,-15.90546,13.55835,ankle,
-4.705811,-11.85608,39.55994,45.35553,-1.774902,6.043701,ankle,
5.218506,-4.125977,-1.78833,48.39905,-1.252289,7.962646,ankle,
-9.368896,-16.55273,26.51978,-3536.894,33.94241,3.746948,ankle,
-12.31995,17.07764,-4.458618,0,0,0,ankle,
15.36255,-17.23633,204.8859,9.501672,8.731537,15.62256,ankle,
-10.80933,5.749512,-105.7617,-8.807756,-4.947662,5.957947,ankle,
2.612305,16.3147,45.54138,1.942034,-7.557983,8.938599,ankle,
-3.955078,-1.858521,-68.35632,3.456478,-4.050293,4.883423,ankle,
3.384399,12.77161,55.8197,8.220922,-4.137573,8.278809,ankle,
-1.51062,-6.188965,-22.30225,7.305713,-3.043518,7.21344,ankle,
-2.682495,1.501465,-22.08252,6.115189,-0.1568604,6.568909,ankle,
-0.9399414,-14.87122,46.15784,6.14038,-0.1768494,6.769409,ankle,
-14.00146,-17.06238,45.08362,15.25472,5.968323,12.88849,ankle,
-7.415771,-30.82275,29.38232,20.62243,9.20517,18.6496,ankle,
0.1831055,-12.41455,-102.6154,17.2645,5.660553,10.91064,ankle,
-2.975464,-19.04297,-26.63879,18.52487,5.3508,9.596252,ankle,
-5.187988,-19.34814,-13.94958,13.23023,2.74765,5.804138,ankle,
0.04577637,-9.385681,-21.87195,8.903341,0.6791687,2.724304,ankle,
8.804321,11.86218,-26.40076,8.752375,-0.3411865,2.34314,ankle,
9.872437,10.27985,-23.0835,9.934387,-2.026215,1.945496,ankle,
20.08362,22.20154,-23.29102,0.7835388,-6.176147,-1.204529,ankle,
33.17261,57.88574,-19.28406,-15.03778,-11.2616,-5.644531,ankle,
-21.81396,10.26306,24.63074,-5.554762,-4.537811,-2.354431,ankle,
0.7720947,34.71069,-12.16125,0.3660774,-4.605408,-4.2276,ankle,
-4.214478,-1.086426,-2.62146,-0.2341175,-4.881287,-4.77356,ankle,
-14.69116,-18.52417,7.949829,-1.942062,-3.232422,-3.990479,ankle,
-2.017212,-7.626343,1.211548,-1.399555,-2.574463,-3.093567,ankle,
-5.496216,-27.15759,3.68042,0.6231689,-0.1068115,0.1052856,ankle,
-0.2044678,-1.599121,-2.209473,0.7610512,0.148468,0.2209473,ankle,
1.104736,-47.93396,-6.347656,6.859894,19.02466,6.997375,ankle,
13.12256,15.64636,-15.59753,12.10798,23.1604,8.889465,ankle,
9.686279,97.32208,19.98291,16.76449,10.5687,2.797241,ankle,
6.347656,3.463745,-7.516479,14.65832,10.10681,3.097534,ankle,
4.75769,67.7597,-4.077148,4.424706,4.766083,0.2151489,ankle,
6.152344,12.31079,-34.48486,4.702854,5.530853,0.2215576,ankle,
0.5584717,4.666138,0.08850098,-4.294605,2.079468,-2.456665,ankle,
-9.283447,-18.63403,-14.25476,-4.251595,2.098846,-2.353516,ankle,
12.7655,-28.16772,31.11572,-5.253963,0.1864624,-4.548645,ankle,
23.86475,64.92004,-66.95862,-10.39877,0.9437561,-8.488159,ankle,
-13.91296,-19.05518,-35.1593,-11.02175,0.3434753,-10.93994,ankle,
-25.65308,-87.79907,112.326,-5.201397,-0.4811096,-6.460266,ankle,
-12.61597,-26.04065,27.40173,-24.99772,-28.76663,-16.54205,ankle,
0.3356934,-8.389282,7.220459,-31.53666,-34.79782,-15.7074,ankle,
-22.28699,-18.87512,8.03833,-38.28101,-25.5043,-16.80603,ankle,
-20.15076,-20.58716,4.595947,-48.9249,-21.52771,-19.97192,ankle,
-38.87634,-28.07922,14.03809,3513.855,-3.031006,-19.6283,ankle,
-45.94727,-60.97412,-1.879883,-121.3062,7.417755,-29.99237,ankle,
28.9856,13.12561,-34.43298,-88.60077,9.565277,-25.04395,ankle,
55.2887,62.70142,4.672241,-56.52527,16.92474,-8.661804,ankle,
15.73792,4.35791,23.31848,-58.87482,18.983,-8.915405,ankle,
34.94568,32.53174,21.24939,-56.72699,25.40314,-6.073608,ankle,
3.33252,3.900146,-3.234863,-51.39526,29.5018,-9.545593,ankle,
4.6875,23.81897,-2.944946,-32.30774,27.99789,-9.361877,ankle,
-0.1800537,-6.890869,16.87927,-35.04669,32.4614,-8.001404,ankle,
-5.041504,-46.71326,110.6018,-52.88544,37.9274,11.49658,ankle,
-10.66589,-0.8666992,-29.45251,-43.53943,37.79419,1.417236,ankle,
-23.66028,-48.74878,-35.04639,-33.18329,13.60519,7.57782,ankle,
-7.226563,-13.02185,12.71667,-39.46716,21.22314,-1.136475,ankle,
6.268311,-3.082275,-20.88318,-43.51593,66.99783,-55.27283,ankle,
-8.154297,-8.346558,1.794434,-43.05115,148.468,-141.2357,ankle,
15.1947,36.4502,-25.79956,-15.41992,333.6815,-338.2401,ankle,
1.49231,8.049011,-10.27832,13.25714,313.0072,-319.74,ankle,
17.37061,75.59052,-20.1355,38.62274,46.48682,-74.27292,ankle,
10.43701,18.73016,-10.44922,42.69348,-2.562561,-29.48425,ankle,
-9.216309,25.02289,-17.95959,17.58728,-64.95239,47.64755,ankle,
-19.81201,43.94379,-23.06519,-0.1754761,-164.3417,157.6358,ankle,
-6.530762,-11.26709,-5.334473,7.026062,-157.131,156.0626,ankle,
-2.627563,0.6790161,-10.22644,17.34253,-156.7325,161.203,ankle,
0.1342773,-21.24329,3.231812,22.69501,-103.976,107.5378,ankle,
-12.97302,16.69006,-32.58362,39.25385,-123.3728,134.7751,ankle,
15.48462,-64.37683,49.96338,13.92517,-31.06827,33.95905,ankle,
-90.24353,10.03723,-155.2216,76.6217,-128.1047,135.6116,ankle,
59.99451,-20.84351,67.52319,49.96246,-45.11993,44.83154,ankle,
9.628296,-6.35376,-2.407837,52.22534,-30.0769,19.48425,ankle,
7.748413,8.346558,-23.47412,70.83984,-28.16467,17.46796,ankle,
28.34473,14.04419,-1.596069,91.60797,-23.38852,14.53217,ankle,
13.797,-19.53125,67.90161,54.90295,-7.442627,7.833252,ankle,
24.11194,15.51514,9.051514,79.47479,7.450104,16.00006,ankle,
8.184814,-11.88049,-0.04577637,80.35583,10.46585,19.96704,ankle,
2.307129,-8.599854,140.3625,43.46252,8.512726,12.12616,ankle,
4.916382,-2.822876,25.29602,-3533.135,20.15839,22.03064,ankle,
-58.09631,5.511475,-83.09021,54.23484,36.48163,10.40924,ankle,
7.632446,-4.449463,-3.994751,52.4976,38.34274,18.349,ankle,
-14.55688,12.13684,49.89624,11.1661,-65.78949,-20.8551,ankle,
-5.789185,-0.302124,6.375122,8.877487,-73.39966,-26.38,ankle,
4.595947,8.54187,13.88245,7.778072,-18.64212,-0.201416,ankle,
0.09765625,-5.297852,-15.26794,6.613941,-6.317139,4.519958,ankle,
-6.518555,-13.92212,-16.00952,4.60041,-0.7070923,4.732971,ankle,
-49.23401,-14.70337,113.0188,13.81618,0.4904175,16.61438,ankle,
14.3158,-21.57898,-31.82983,-12.14827,4.012299,10.5838,ankle,
4.714966,-6.619263,-45.94421,-22.55569,4.880676,7.381287,ankle,
6.729126,-26.84631,-10.65979,-17.28103,4.692993,8.700867,ankle,
37.70142,67.71545,-76.61133,0,0,0,ankle,
-37.72888,-97.5769,61.08398,-15.17568,4.66568,9.178467,ankle,
39.68811,-0.2563477,-32.78198,-10.31723,1.802216,8.035889,ankle,
