hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
-64.00757,-15.66467,-38.14697,-1.087699,1.360626,3.762207,sidetoside,
2.606201,-24.3866,-19.80591,-1.604638,2.618408,5.379944,sidetoside,
88.5498,-12.41913,17.10205,-3.083415,5.807953,12.81372,sidetoside,
-20.02563,2.983093,-22.99194,-4.137959,9.338531,-3577.446,sidetoside,
49.26758,-13.7619,11.21521,-5.479469,11.94336,29.17381,sidetoside,
-171.0815,20.81451,4.510498,-3.351979,8.986511,24.81019,sidetoside,
-18.78662,4.681396,-4.257202,-2.912097,7.677612,21.16785,sidetoside,
-30.93262,16.81824,8.197021,-2.55466,7.479553,19.41132,sidetoside,
-0.7995605,-1.654053,-0.6072998,-2.566307,7.237091,18.95314,sidetoside,
2.972412,15.56091,6.137085,-2.251892,7.302551,14.39056,sidetoside,
14.31885,8.709717,20.05615,-2.975357,9.541626,17.85655,sidetoside,
-23.69995,11.06262,-0.2746582,-3.288188,12.07489,5.762348,sidetoside,
7.781982,18.90564,42.77649,-5.224118,18.07846,5.182266,sidetoside,
-19.77539,-10.95886,-82.89795,-1.960851,6.429443,-2.185097,sidetoside,
2.484131,13.97095,-5.374146,-1.94048,6.174927,-4.995089,sidetoside,
-13.69019,-11.66382,-21.91467,-1.008409,2.969055,-2.241192,sidetoside,
-2.91748,-2.558899,-4.681396,-0.8241987,2.320557,-1.685209,sidetoside,
2.935791,12.34741,9.32312,-0.6237626,1.860657,-0.6818581,sidetoside,
-1.916504,-23.03009,-1.657104,-0.02842307,0.2593994,0.6913853,sidetoside,
-4.260254,-13.04016,28.52783,1.220641,-1.720581,0.4284954,sidetoside,
-7.427979,-22.93396,73.26965,4.178636,-6.395264,-0.0329113,sidetoside,
-9.692383,-28.98102,17.37671,4.913883,-7.290955,-1.732817,sidetoside,
-5.609131,-16.30554,-40.2832,3.55365,-5.024414,-2.943487,sidetoside,
-27.80151,-50.5661,56.92749,5.939405,-8.085022,-4.454517,sidetoside,
-2.508545,6.468201,-36.15112,4.741626,-6.134338,-3.129463,sidetoside,
-9.173584,-7.025146,7.138062,5.161381,-6.538239,-2.902584,sidetoside,
-60.00366,-41.64734,38.99231,8.025002,-8.935394,-0.878849,sidetoside,
4.56543,38.04321,-35.75745,7.446594,-7.083282,1.857843,sidetoside,
-57.8186,23.27728,-8.47168,10.63488,-7.056427,9.424477,sidetoside,
8.587646,-2.026367,-8.31604,10.11928,-6.676636,8.950167,sidetoside,
122.2107,57.78198,-99.19128,3.169928,-1.329956,4.090481,sidetoside,
-26.47705,-21.6095,-40.625,6.24527,-1.072998,10.56865,sidetoside,
70.21484,59.06525,-5.279541,1.147404,-0.1419067,1.660881,sidetoside,
0.5493164,14.95361,-48.55957,2.589216,-0.2426147,3.788605,sidetoside,
