r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
0.008068979,0.03614426,-0.007963181,-5.044765,-0.4440308,-1.012735,
0.1610614,0.375843,-0.5726814,-14.62392,-0.9408569,-2.752738,
0.1314819,0.164938,-0.3205657,-19.95047,-0.8935547,-3.497481,
-0.03451891,-0.1020551,0.07436275,-18.40523,-0.7055664,-2.857947,
-0.04044175,-0.05538464,0.2542019,-14.35768,-0.7498169,-1.577282,
-0.05471893,-0.08047819,0.1927137,-11.23285,-0.4394531,-0.933032,
-0.02267808,0.09952784,0.04526377,-10.66354,-0.2484131,-0.3784418,
0.01494475,-0.06760359,-0.02797842,-10.42251,-0.1751709,-0.334816,
0.01874864,0.04724264,-0.274229,-8.943501,0.3179932,-0.2454853,
0.04263371,-0.1243114,0.06167889,-8.929873,0.4013062,-0.648632,
0.05025081,-0.167048,-0.04137754,-7.788539,1.525879,-3.987322,
0.03775507,-0.9477973,-0.3617764,-8.172612,1.558838,-4.336784,
-0.378168,0.2921939,1.254129,0.8754992,1.181946,-3.314695,
0.01742132,-0.006628036,0.0726223,0.7851505,1.03302,-2.850096,
-0.02122894,0.1464128,0.1777887,2.737288,1.163635,-1.438348,
-0.01432598,-0.1288295,0.119257,3.850863,1.595764,-1.810384,
0.08418486,0.1785278,-0.06713867,3.745651,0.6546021,0.2000809,
0.02065822,-0.07244349,0.0921011,4.940286,0.7775879,0.4837298,
0.2255008,0.03378391,0.03720522,7.110281,-0.1394653,0.6076574,
0.0182353,-0.001013279,0.01870394,7.539077,-0.4281616,0.6529737,
-0.09089112,0.236702,-0.2613783,3.565907,0.6219482,-0.683558,
-0.04866607,0.09675026,-0.1255751,1.553125,0.9475708,-1.102195,
-0.04650652,0.09797812,-0.0479579,1.04732,1.28479,-0.312295,
-0.05580038,0.1610041,-0.05732775,0.44981,1.97998,0.7921362,
-0.05453378,-0.03103018,0.02744198,-0.1219988,0.9463501,1.958122,
-0.07435381,0.2002835,0.009250641,-0.7054186,0.8654785,4.56403,
-0.2410125,0.393641,0.05043745,-1.344843,0.3955078,8.811676,
0.3514871,-0.8831859,-0.006890297,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
-2.846873,-0.08201599,3.150976,4.118195,-3.81073,32.72189,
2.846873,0.08201599,-3.150976,0,0,0,
0,0,0,0,0,0,
-0.6459713,-1.474786,2.712536,44.17313,3.563538,9.894576,
0.6178305,1.233876,-2.252817,8.580418,-3597.812,1.651173,
0.004737079,0.004327297,-0.04490614,7.73634,2.02666,1.588783,
0.04411116,-0.1959324,0.1607895,10.9622,2.436875,1.016865,
0.003225356,0.112617,-0.1874089,7.341652,1.596795,0.5303383,
0.01332536,-0.06082058,0.007855892,7.241077,1.429678,-0.1726437,
-0.03725812,0.3807187,-0.396049,0,0,0,
-0.06217808,-0.5974054,0.5341053,11.2354,3.807561,0.4561043,
-0.02567545,0.4176736,-0.4159451,3.85004,2.591017,0.8773232,
0.04279092,0.1579046,-0.1781225,-1.271801,1.42972,0.5737591,
-0.00565201,0.05722046,-0.1047492,-4.043064,1.499794,0.6523418,
0.09431019,0.1671791,-0.1749516,-6.569157,1.124797,-0.2368832,
0.03714412,0.05191565,-0.04440546,-7.005577,0.8049893,-0.6602669,
0.07270128,0.1198769,-0.181067,-10.20856,0.4542613,-1.652193,
-0.024914,-0.1005054,0.138855,-7.62064,0.03033042,-1.542206,
0.1637496,0.378418,-0.768435,-21.10819,-1.331695,-4.392233,
-0.115145,-0.2974749,0.3890276,-14.06404,-1.488466,-2.890539,
0.1310147,0.1183748,-0.534761,-23.27689,-2.165927,-4.533186,
