a_x,a_y,a_z,g_x,g_y,g_z,label,
2.02,2.39,0.82,1.78,0.76,1.08,sidecrunch,
1.66,2.13,1.21,1.73,0.75,0.93,sidecrunch,
1.32,1.69,1.63,1.66,0.64,0.67,sidecrunch,
1.03,1.61,2.23,1.61,0.62,0.48,sidecrunch,
0.68,1.36,2.74,1.79,0.79,0.29,sidecrunch,
-0.08,0.64,3.13,1.9,1.1,0.13,sidecrunch,
-0.76,0.09,3.98,2.02,1.28,0.11,sidecrunch,
-1.61,-0.72,4.83,2.29,1.45,0.19,sidecrunch,
-2.26,-1.5,5.35,2.51,1.47,0.33,sidecrunch,
-0.02,0.38,2.01,2.91,1.39,0.7,sidecrunch,
0.34,0.36,1.59,3.14,1.49,0.91,sidecrunch,
0.79,0.33,1.37,3.36,1.69,1.06,sidecrunch,
0.91,0.08,1,3.46,1.95,1.06,sidecrunch,
0.21,-0.34,1.06,3.25,2.14,0.95,sidecrunch,
-0.27,-0.27,1.28,2.98,2.04,0.95,sidecrunch,
-0.19,-0.1,1.64,2.96,1.7,1.12,sidecrunch,
0.05,0.04,1.54,3.24,1.69,1.32,sidecrunch,
0.48,0.01,1.46,3.55,2,1.46,sidecrunch,
0.18,-0.33,1.65,3.92,2.28,1.53,sidecrunch,
0.21,-0.16,1.32,3.8,2.19,1.38,sidecrunch,
-0.11,-0.24,1.66,3.43,1.85,1.12,sidecrunch,
0.01,-0.49,1.14,3.22,1.31,0.95,sidecrunch,
0.18,-0.6,0.78,3.06,1,0.84,sidecrunch,
0.13,-0.99,0.96,2.86,0.82,0.76,sidecrunch,
0.41,-0.76,0.7,2.89,0.73,0.77,sidecrunch,
0.56,-0.66,0.55,2.99,0.92,0.77,sidecrunch,
0.66,-0.56,0.19,3.01,0.94,0.71,sidecrunch,
0.44,-0.97,-0.02,2.74,0.81,0.49,sidecrunch,
0.08,-1.21,0.02,2.2,0.55,0.23,sidecrunch,
-0.06,-1.36,0.01,1.77,0.28,0.1,sidecrunch,
-0.37,-1.53,0.12,1.25,-0.1,0.03,sidecrunch,
-0.18,-1.54,-0.1,0.91,-0.21,0.02,sidecrunch,
-0.05,-1.56,-0.28,0.35,-0.35,-0.02,sidecrunch,
0.08,-1.09,0.08,-0.12,-0.4,-0.01,sidecrunch,
0.24,-0.62,0.4,-0.29,-0.38,0.04,sidecrunch,
0.24,-0.12,1.27,-0.23,-0.17,0.11,sidecrunch,
0.16,-0.14,1.75,0.08,0.03,0.22,sidecrunch,
0.21,-0.18,1.47,0.17,0.1,0.25,sidecrunch,
0.34,-0.24,1.41,0.17,0.08,0.25,sidecrunch,
0.18,-0.28,1.46,0.09,0.07,0.21,sidecrunch,
-0.03,-0.53,1.42,-0.04,0.05,0.18,sidecrunch,
0.03,-0.56,1.38,-0.17,-0.06,0.19,sidecrunch,
0.17,-0.41,1.21,-0.33,-0.15,0.2,sidecrunch,
0.24,-0.18,1.36,-0.53,-0.2,0.21,sidecrunch,
0.34,0.02,1.35,-0.63,-0.25,0.21,sidecrunch,
0.54,0.22,1.31,-0.78,-0.28,0.19,sidecrunch,
0.73,0.15,0.98,-1.05,-0.21,0.1,sidecrunch,
0.64,0.12,1.15,-1.41,-0.2,-0.01,sidecrunch,
0.39,0.17,1.32,-1.91,-0.26,-0.14,sidecrunch,
0.14,0.44,1.64,-2.24,-0.31,-0.21,sidecrunch,
-0.01,0.85,2.18,-2.66,-0.35,-0.24,sidecrunch,
0.07,1.05,2.33,-2.98,-0.33,-0.28,sidecrunch,
0.22,1.55,2.29,-3.3,-0.35,-0.37,sidecrunch,
0.63,2.26,2.07,-3.75,-0.59,-0.49,sidecrunch,
1.25,3.38,1.63,-4.2,-0.77,-0.68,sidecrunch,
1.57,4.31,1.63,-4.61,-0.86,-0.86,sidecrunch,
1.71,5.85,2.36,-5,-0.98,-1.14,sidecrunch,
1.16,7.01,3.78,-4.97,-1.01,-1.35,sidecrunch,
1.34,7.42,4.46,-4.62,-1.03,-1.39,sidecrunch,
1.29,7.5,4.99,-4.01,-1.08,-1.45,sidecrunch,
1.31,7.31,4.46,-3.45,-1.26,-1.51,sidecrunch,
1.39,6.97,3.72,-3.24,-1.4,-1.56,sidecrunch,
1.44,6.6,2.64,-3.15,-1.51,-1.57,sidecrunch,
1.59,6.11,1.58,-3.27,-1.54,-1.5,sidecrunch,
1.79,5.91,1.39,-3.49,-1.53,-1.44,sidecrunch,
2.17,6.19,1.38,-3.75,-1.6,-1.38,sidecrunch,
2.48,6.29,1.96,-3.69,-1.78,-1.29,sidecrunch,
2.86,6.37,1.42,-3.42,-1.86,-1.22,sidecrunch,
4.11,5.88,0.16,-3.32,-1.94,-1.31,sidecrunch,
4.01,5.67,-0.48,-3.38,-2.05,-1.45,sidecrunch,
4.2,5.39,-0.89,-3.2,-1.94,-1.37,sidecrunch,
4,5.35,-0.69,-2.85,-1.7,-1.17,sidecrunch,
4.04,5,-1.18,-2.25,-1.47,-0.91,sidecrunch,
3.72,4.71,-1.49,-1.61,-1.08,-0.53,sidecrunch,
3.46,4.47,-1.08,-0.83,-0.56,-0.08,sidecrunch,
3.02,4.36,-0.51,0.29,0.14,0.52,sidecrunch,
2.48,3.83,-0.11,1.15,0.63,0.97,sidecrunch,
2.28,3.5,0.34,1.75,0.69,1.31,sidecrunch,
2.26,3.12,0.36,2.12,0.81,1.45,sidecrunch,
1.89,2.79,0.91,2.21,0.95,1.39,sidecrunch,
1.48,2.08,1.31,2.25,0.92,1.23,sidecrunch,
0.85,1.47,1.79,2.25,0.98,1.13,sidecrunch,
0.11,1.02,3.27,2.59,1.15,1.2,sidecrunch,
-0.64,0.12,4.02,3.02,1.47,1.31,sidecrunch,
-1.69,-0.81,4.37,3.37,1.64,1.41,sidecrunch,
-2.27,-1.61,4.15,3.26,1.4,1.44,sidecrunch,
-2.31,-1.93,4.57,2.95,1,1.4,sidecrunch,
-1.98,-1.84,5.33,3.01,0.95,1.38,sidecrunch,
-2.11,-2.26,5.93,3.54,1.39,1.41,sidecrunch,
-2.34,-3.04,5.94,4.56,2.06,1.56,sidecrunch,
-3.41,-4.37,5.81,5.3,2.77,1.72,sidecrunch,
-3.88,-5.14,5.58,5.61,2.8,1.9,sidecrunch,
-3.99,-5.32,6.1,5.95,2.74,2.05,sidecrunch,
-3.29,-5.74,4.95,5.98,2.65,1.85,sidecrunch,
-3.47,-6.25,5.15,5.66,2.16,1.32,sidecrunch,
-3.77,-6.8,5.3,5.55,1.62,0.92,sidecrunch,
-3.61,-8.8,3.07,5.75,0.89,0.56,sidecrunch,
-3.91,-10.35,-0.43,5.79,-0.05,0.27,sidecrunch,
-3.92,-11.36,-3.1,5.03,-0.1,0.09,sidecrunch,
-3.85,-12.57,-3.48,3.66,0.55,-0.12,sidecrunch,
-3.72,-12.42,-3.49,2.64,1.02,-0.24,sidecrunch,
-4.08,-12.76,-3.5,1.16,0.86,-0.42,sidecrunch,
-4.47,-12.26,-2.83,-0.18,0.24,-0.5,sidecrunch,
-4.45,-11.74,-2.34,-1.13,-0.42,-0.52,sidecrunch,
-3.98,-11.12,-2.47,-1.52,-0.71,-0.4,sidecrunch,
-3.29,-10.48,-2.24,-1.65,-0.62,-0.3,sidecrunch,
-2.95,-9.63,-1.68,-1.62,-0.27,-0.25,sidecrunch,
-2.63,-8.88,-1.59,-1.6,-0.08,-0.22,sidecrunch,
