a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.05,0.2,1.93,-0.06,0.04,0.02,reverse,
-0.03,0.15,1.92,-0.06,0.04,0.02,reverse,
-0.05,0.2,1.95,-0.06,0.04,0.03,reverse,
-0.05,0.2,1.91,-0.06,0.04,0.03,reverse,
-0.03,0.19,1.91,-0.07,0.04,0.03,reverse,
-0.09,0.17,1.89,-0.06,0.04,0.03,reverse,
-0.07,0.18,1.95,-0.06,0.03,0.03,reverse,
-0.03,0.19,1.93,-0.06,0.04,0.02,reverse,
-0.07,0.14,1.98,-0.07,0.04,0.02,reverse,
-0.05,0.18,1.92,-0.07,0.04,0.03,reverse,
-0.03,0.15,1.94,-0.07,0.04,0.02,reverse,
-0.04,0.17,1.9,-0.06,0.04,0.03,reverse,
-0.08,0.17,1.9,-0.07,0.04,0.02,reverse,
-0.05,0.15,1.95,-0.06,0.04,0.03,reverse,
-0.07,0.13,1.9,-0.06,0.04,0.03,reverse,
-0.09,0.13,1.93,-0.06,0.04,0.02,reverse,
-0.09,0.09,1.93,-0.06,0.04,0.03,reverse,
-0.07,0.09,1.95,-0.07,0.04,0.03,reverse,
-0.12,0.1,1.89,-0.07,0.04,0.03,reverse,
-0.09,0.08,1.9,-0.06,0.04,0.03,reverse,
-0.08,0.11,1.92,-0.07,0.04,0.02,reverse,
-0.09,0.13,1.9,-0.06,0.04,0.02,reverse,
-0.11,0.1,1.92,-0.06,0.04,0.03,reverse,
-0.11,0.08,1.94,-0.07,0.04,0.03,reverse,
-0.08,0.1,1.9,-0.06,0.04,0.03,reverse,
-0.1,0.11,1.9,-0.06,0.03,0.03,reverse,
-0.09,0.11,1.87,-0.06,0.03,0.03,reverse,
-0.07,0.12,1.92,-0.06,0.04,0.03,reverse,
-0.12,0.12,1.9,-0.06,0.04,0.03,reverse,
-0.11,0.09,1.9,-0.07,0.04,0.02,reverse,
-0.08,0.1,1.92,-0.06,0.04,0.02,reverse,
-0.09,0.12,1.92,-0.06,0.04,0.03,reverse,
-0.11,0.06,1.9,-0.06,0.04,0.03,reverse,
-0.08,0.09,1.9,-0.06,0.04,0.02,reverse,
-0.09,0.08,1.92,-0.07,0.04,0.02,reverse,
